Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Back to the table of content,,,,,,,,,,,,,,
,Table 3.15.a:  Levelised cost of electricity for wind generators - Onshore,,,,,,,,,,,,,,
,Country,Technology,Net capacity (MWe),"Capacity 
factor (%)",Investment (USD/MWh),,,Decommissioning (USD/MWh),,,"O&M 
(USD/MWh)",LCOE (USD/MWh),,,Country
,,,,,0.03,0.07,0.1,0.03,0.07,0.1,,0.03,0.07,0.1,
,Austria,Onshore wind (>= 1 MW),3,0.273,35.00613397061684,52.30725791433009,67.1548191598612,0.799788453710371,0.435622507331624,0.26892674049990056,23.607566697277814,59.413489121605025,76.35044711893951,91.03131259763893,Austria
,Australia,Onshore wind (>= 1 MW),100,0.42,22.357552811508924,33.407353186343464,42.890123690156024,0.5108051236641484,0.27822133177356106,0.1717568643312696,9.30966830577815,32.178026240951226,42.99524282389517,52.37154886026545,Australia
,Belgium,Onshore wind (>= 1 MW),5,0.3,32.24249181504184,48.17773755267245,61.853122910398504,0.7366472599963947,0.4012312567528115,0.24769568203938222,19.96402443988973,52.94316351492796,68.54299324931497,82.06484303232762,Belgium
,,Onshore wind (>= 1 MW),30,0.275,33.76668233720744,50.45523060061696,64.77708872070825,0.7714705850144059,0.42019855252658084,0.2594049324630621,13.22964509810089,47.767798020322736,64.10507425124443,78.2661387512722,
,,Onshore wind (>= 1 MW),4.5,0.25,40.23862978517219,60.12581646573522,77.19269739217732,0.9193357804755002,0.500736608427509,0.309124211185149,17.70567502295836,58.86364058860605,78.33222809712109,95.20749662632083,
,,Onshore wind (>= 1 MW),30,0.275,31.599986887236636,47.21768663707738,60.620558861129474,0.7219678891426483,0.39323581207279196,0.24275978263001563,10.289723965189586,42.61167874156887,57.900646414339754,71.15304260894908,
,Canada,Onshore wind (>= 1 MW),200,0.4,22.311784489192632,33.33896473071698,42.80232298040096,0.5097594504754156,0.2776517826956619,0.17140525950255586,13.21491151585977,36.036455455527815,46.83152802927242,56.18863975576329,Canada
,Denmark,Onshore wind (>= 1 MW),4.48,0.3961187214611872,15.18473892720143,22.68951081812069,29.12999183234139,0.34692716644391314,0.1889615702835363,0.11665333705406836,6.304249312341175,21.83591540598652,29.182721700745404,35.550894481736634,Denmark
,Finland,Onshore wind (>= 1 MW),30,0.3995433789954338,25.17788549415061,37.621582302845745,48.30057351110522,0.5752415312118131,0.3133180492732127,0.19342343499870746,6.941748778842406,32.69487580420483,44.87664913096136,55.43574572494633,Finland
,France,Onshore wind (>= 1 MW),50,0.38,25.454598801348816,38.03505596263614,48.831412823998804,0.5815636263129431,0.31676151848906176,0.1955492226626701,17.72978753400462,43.76594996166638,56.08160501512981,66.75674958066608,France
