Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Back to the table of content,,,,,,,
,Table 3.6.a:  Wind generating technology - Onshore,,,,,,,
,Country,Technology,Net capacity (MWe),"Capacity
 factor (%)",Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,,0.03,0.07,0.1
,Austria,Onshore wind (>= 1 MW),3,0.273,1457.7672435569048,1479.4721682002405,1507.9261619637152,1528.9191836150942
,Australia,Onshore wind (< 1 MW),100,0.42,1432.3691060749604,1453.695873874285,1481.6541242680898,1502.2813922969892
,Belgium,Onshore wind (< 1 MW),4.5,0.25,1534.4918353230578,1557.339124421306,1587.290696803911,1609.3886143316781
,,Onshore wind (< 1 MW),5,0.3,1475.4729185798633,1497.4414657897173,1526.2410546191452,1547.4890522419983
,,Onshore wind (< 1 MW),30,0.275,1416.4540018366688,1437.5438071581286,1465.1914124343793,1485.5894901523184
,,Onshore wind (< 1 MW),30,0.275,1325.5648700521492,1345.3014128654822,1371.1749634698401,1390.2641645342114
,Canada,Onshore wind (< 1 MW),200,0.4,1361.3684685762355,1381.6380967715868,1408.210493761482,1427.8152954626048
,Denmark,Onshore wind (< 1 MW),4.48,0.3961187214611872,917.5169325272136,931.1779857354726,949.0868948506969,962.2998771804777
,Finland,Onshore wind (< 1 MW),30,0.3995433789954338,1534.4918353230578,1557.339124421306,1587.290696803911,1609.3886143316781
,France,Onshore wind (< 1 MW),50,0.38,1475.4729185798633,1497.4414657897173,1526.2410546191452,1547.4890522419983
,Italy,Onshore wind (< 1 MW),0.014,0.17260273972602744,5316.6690903768485,5395.829808571212,5499.6052705379125,5576.16958477999
,,Onshore wind (< 1 MW),0.02,0.3213913272278058,5538.776156958986,5621.243862029495,5729.354606679549,5809.117441452453
,,Onshore wind (< 1 MW),0.059,0.20150684931506857,4074.911955580003,4135.583957447933,4215.121702505144,4273.803714526643
,,Onshore wind (< 1 MW),0.06,0.334293898758849,4616.016049209618,4684.744634615381,4774.8441292067355,4841.318475706474
,,Onshore wind (< 1 MW),0.1,0.30790227517262414,3323.265694175391,3372.7463172176967,3437.612764007729,3485.4704648714714
,,Onshore wind (< 1 MW),0.19,0.17890410958904115,2852.145203805325,2894.611240131809,2950.2819394154517,2991.3551260170852
,,Onshore wind (< 1 MW),0.5,0.334293898758849,2658.612555340313,2698.1970537741577,2750.090211206183,2788.3763718971773
,,Onshore wind (< 1 MW),0.8,0.3166994830346991,1782.3712856444747,1808.9092906739784,1843.699193979927,1869.366775108334
,,Onshore wind (< 1 MW),0.832,0.29534246575342477,2268.571163829431,2302.3482749399955,2346.628258615648,2379.297509327966
,,Onshore wind (< 1 MW),0.9,0.4809140297934319,2726.6739535355873,2767.2718287793978,2820.4934689361803,2859.759768543213
,,Onshore wind (< 1 MW),0.9,0.4339955878623654,2785.692870278782,2827.1694874109867,2881.543111120946,2921.6593306328928
,,Onshore wind (>= 1 MW),1,0.38825010697957557,3021.76853725156,3066.7601219373405,3125.741679860009,3169.2575789916123
,,Onshore wind (>= 1 MW),10,0.37182865230370227,1429.004248495418,1450.2809164036096,1478.1734885233234,1498.7522998947327
,,Onshore wind (>= 1 MW),20,0.2986301369863015,1499.0949079439474,1521.4151666505024,1550.6758304156015,1572.264003698431
,Japan,Onshore wind (>= 1 MW),20,0.2,2281.8358414365857,2315.8104524080873,2360.34934782399,2393.2096205704743
,Korea,Onshore wind (>= 1 MW),14.85,0.23,1981.69989998997,2011.20573995523,2049.8863159145376,2078.4243895273853
,Netherlands,Onshore wind (>= 1 MW),50,0.4817351598173516,1250.3157512045761,1268.9318981102065,1293.3366696842636,1311.3422228698696
,Norway,Onshore wind (>= 1 MW),130,0.44,931.9397479249923,945.8155446890123,964.0059711048855,977.4266535851928
,Russian Federation,Onshore wind (>= 1 MW),60,0.27,1598.2764318190236,1622.073419757378,1653.2699964566348,1676.28646351361
,,Onshore wind (>= 1 MW),280,0.27,1471.960238547397,1493.876484914481,1522.6075101400972,1543.8049223431572
,Sweden,Onshore wind (>= 1 MW),5,0.42,1097.7518514234182,1114.0964505475497,1135.5233446366437,1151.3318548680465
,United States,Onshore wind (>= 1 MW),100,0.5334580833333334,1429.9410361274734,1451.2316520133343,1479.1425091847655,1499.7348110520884
,,Onshore wind (>= 1 MW),100,0.4855256666666667,1338.3997913885728,1358.327435354467,1384.4515093350878,1403.7255435974203
,,Onshore wind (>= 1 MW),100,0.4685614166666667,1323.1404078992286,1342.8408525161162,1368.667080318234,1387.7213671761747
,,Onshore wind (>= 1 MW)*,100,0.4530821666666667,1319.1998580261002,1338.841631179194,1364.5909438345284,1383.5884836025818
,,Onshore wind (>= 1 MW),100,0.4347291666666666,1341.5235041975866,1361.4976576123843,1387.682702989625,1407.0017212306564
,,Onshore wind (>= 1 MW),100,0.4091638333333334,1522.9021123182852,1545.576840216817,1575.3021941084,1597.2332102964317
,,Onshore wind (>= 1 MW),100,0.37112833333333334,1614.8111999285943,1638.8543766171756,1670.3736935829252,1693.6282746093693
,,Onshore wind (>= 1 MW),100,0.32858208333333333,1967.5170343976838,1996.8117034573913,2035.2154456691337,2063.549274601787
,,Onshore wind (>= 1 MW),100,0.28191525,2180.2716118384315,2212.734017099707,2255.290491818238,2286.688157910345
,,Onshore wind (>= 1 MW),100,0.17828866666666668,2329.473958806766,2364.157861163597,2409.6265995983667,2443.172899578487
,Non-OECD countries,,,,,,,
,Brazil,Onshore wind (>= 1 MW),30,0.47,1313.6918161105143,1333.2515791654675,1358.893380974329,1377.811600505423
,China,Onshore wind (>= 1 MW),50,0.2562,1173.6,1191.0739140792227,1213.98127959207,1230.8820642124897
,India,Onshore wind (>= 1 MW),65,0.2692,877.220684161956,890.2817602215702,907.4041314277118,920.0368153469335
,* Indicated as reference datasets by the providing country.,,,,,,,
,,,,,,,,
,,,,,,,,
,Table 3.6.b:  Wind generating technology - Offshore,,,,,,,
,Country,Technology,Net capacity (MWe),"Capacity 
factor (%)",Overnight costs (USD/kWe),Investment costs (USD/kWe),,
,,,,,,0.03,0.07,0.1
,Australia,Offshore wind,100,0.51,3474.4458358113943,3526.1774036436045,3593.994718500048,3644.029535086928
,Belgium,Offshore wind,12,0.39,2360.756669727781,2395.906345263548,2441.9856873906324,2475.9824835871973
,,Offshore wind,50,0.39,2360.756669727781,2395.906345263548,2441.9856873906324,2475.9824835871973
,Denmark,Offshore wind,11.25,0.5179794520547946,2011.7344651008618,2041.6874944067445,2080.9543116416266,2109.924907166631
,,Offshore wind,11.5,0.5188356164383562,1720.6965955208357,1746.3163164364307,1779.9023984493037,1804.6818143985088
,France,Offshore wind,500,0.45,3068.9836706461156,3114.678248842612,3174.581393607822,3218.7772286633563
,Japan,Offshore wind,100,0.3,4039.007063906392,4099.144472222748,4177.981393764904,4236.14634644677
,Korea,Offshore wind,99,0.3,3519.822545717666,3572.229734485544,3640.9327522046265,3691.6210299374757
,United States,Offshore wind,600,0.4713419141378313,1952.1448218631394,1981.210611644527,2019.314305380409,2047.4267620796052
,,Offshore wind,600,0.45932558297053216,1958.124240868188,1987.279059154976,2025.4994644933658,2053.698029639017
,,Offshore wind*,600,0.46275896920583165,2059.9736914068385,2090.6449621030747,2130.853355334078,2160.518634545222
,,Offshore wind,600,0.46065386335017244,2151.004251941803,2183.0308909009664,2225.0160993356285,2255.9922918881807
,,Offshore wind,600,0.453230596132107,2188.96210192169,2221.5539012499576,2264.280004660396,2295.8028208046017
,,Offshore wind,600,0.38912011289365545,2209.2266881903047,2242.12021011512,2285.2418556903694,2317.056498187632
,,Offshore wind,600,0.30060685333007037,2411.031120897178,2446.929340604821,2493.9899840516864,2528.710772810559
,,Offshore wind,600,0.5260208397400966,2410.367669630648,2446.2560111085468,2493.303704725264,2528.014939251892
,,Offshore wind,600,0.5131629868933993,2419.510846034748,2455.5353216971193,2502.7614799387825,2537.604383564893
,,Offshore wind,600,0.5040690680670465,2486.073585969571,2523.0891246845144,2571.614513510043,2607.415974166984
,,Offshore wind,600,0.49724794278063017,2576.911153033298,2615.2791865011704,2665.577623512645,2702.687218249671
,,Offshore wind,600,0.46850489884365093,2604.4929137506047,2643.271616370597,2694.1084186464195,2731.6152129380935
,,Offshore wind,600,0.3736091139574181,2607.3140976203167,2646.1348052884864,2697.0266739328185,2734.5740955429624
,,Offshore wind,600,0.3070810092588786,2864.2357505820264,2906.881804951751,2962.788498248911,3004.035798455705
,Non-OECD countries,,,,,,,
,China,Offshore wind,50,0.3541,2264.9,2298.622450577737,2342.83077722229,2375.4471602205767
,* Indicated as reference datasets by the providing country.,,,,,,,
